solar_curr_mA,load_power_mW
1326.9500050228091,3768.502899180641
1328.999933321029,3768.50169888852
1478.7500549573451,3768.5034623921283
1599.8499293345958,3768.5076226769547
1689.3500287551433,3768.513554348279
1745.7999638281763,3768.5206033011914
1770.1499746181073,3768.5281342328453
1759.649894665927,3768.535457405379
1715.549879008904,3768.541907818549
1638.300018385053,3768.5468293753033
1529.1500312741846,3768.549590707814
1388.84992338717,3768.549575287508
1298.3499618712813,3768.547768722018
1456.2500291503968,3768.5490872488417
1586.6500325500967,3768.5529866186894
1688.6999947018921,3768.5589057558286
1754.4000002089888,3768.5661252487753
1788.8500588014722,3768.574026618486
1787.9498773254454,3768.5819102297696
1752.7499585412443,3768.5890972335283
1682.7999206725508,3768.5948998619047
1581.5999358892443,3768.5986996162624
1451.8499665427955,3768.599931430207
1287.8999405074867,3768.5979184088765
1428.9499085862192,3768.598696986806
1572.150067659095,3768.602309740233
1680.6999337859452,3768.6080709027924
1758.39988514781,3768.615369918933
1803.0998762696981,3768.6235536756653
1812.9499221686274,3768.6319324409465
1786.7499263957143,3768.6397927257904
1727.1000251639634,3768.646472497035
1634.0998990926894,3768.651311689532
1509.5999697223306,3768.653686856242
1352.099934592843,3768.6529448520896
1401.2999599799514,3768.653176593025
1551.1499077547342,3768.6563741158675
1672.1000429242852,3768.661965466803
1760.6999608688056,3768.6693103985854
1816.5499204769733,7735.6429778479105
1835.1999460719526,7735.597075492603
1819.8999168816954,7735.55055085882
1768.0498422123492,3768.6090403756884
1683.2500114105642,3768.614852057653
1565.8498159609737,3768.6183402364964
1417.0000213198366,3768.6188824552764
1367.8499090019614,3768.6184519153735
1529.299916001037,3768.621216737051
1659.8998627159745,3768.6265663695176
1759.1999494470656,3768.6338813552406
1825.399958761409,3768.6425066028646
1854.0999735705557,3768.651699934561
1848.700048867613,3768.6607864598363
1807.0999067276716,3768.6690497152767
1730.249932734296,3768.6757920419504
1620.2499682549387,3768.6803573351963
1477.9000775888562,3768.682105320172
1330.499944742769,3768.680936023608
1501.399965491146,3768.683149114755
1643.0999676231297,3768.688166701261
1751.6998923383653,3768.6953336978927
1826.1998775415123,3768.7039752257
1867.7499610930681,3768.713439161972
1875.5500786937773,3768.7230575446347
1840.4499860480428,3768.731981308153
1771.3999841362238,3768.7395385221707
1668.3498688507825,3768.745056257804
1534.5499559771272,3768.747925910427
1370.1998977921903,3768.7475428224225
1470.7499940413982,3768.7491497856104
1620.2499682549387,3768.7537156141807
1737.7999029122293,3768.760607985194
1830.9999722987416,3768.769344991208
1886.7000471800566,3768.7791844582944
1888.9999773819,3768.789069516633
1864.7999968379738,3768.7984756891565
1819.2999414168298,3768.8069814083874
1722.8999058716,3768.8135792723156
1591.0499496385455,3768.817567654006
1431.6999295260757,3768.8184022623177
1438.400067854673,3768.8193694836236
1598.999951966107,3768.8235152513607
1728.7999799009413,3768.830230008236
1824.7000116389247,3768.83884283557
1886.0500131268054,3768.848669944532
1910.7997650280597,3768.858986964041
1901.3500423170628,3768.8691170330703
1849.7499695513397,3768.8782259245772
1765.5499686952683,3768.8856684242
1644.3499771412462,3768.8907122282963
1493.4000500943512,3768.8927685185567
1402.950001647696,3768.893034666612
1573.449990246445,3768.8966752955507
1712.6000602729619,3768.9030699628565
